avg_daily_traffic,spans_units,structure_length[ft],age,deck_area[ft2],mile_point,latitude,longitud,approach_span_units,approach_width[ft],skew_angle[o],nav_vert_clearance,nav_horiz_clearance,route_horiz_clearance,lengt_max_span[ft],left_curb_width[ft],right_curb_width[ft],roadway_curb_curb_width,min_vert_clearance_over,min_vert_underclearance,min_right_underclearance,min_left_underclearance,min_clearance_lift_brige,operating_rating[us-tons],inventory_rating[us-tons],detour_dist,avg_daily_truck_traffic,avg_daily_future_traffic,length_improvement,improvement_cost,road_improvement_cost,total_project_cost,avg_daily_truck_traffic[computed],avg_rel_humidity,avg_temperature,max_temperature,mean_wind_speed,min_temperature,days_measurable_precipitation,days_temp_below_0C,wind_direction,time_wetness,total_precipitation,inspection_month,inspection_year,historical_code,condition_rate,structural_appraisal,approach_alignment_appraisal,operating_rating_code,inventory_rating_code,condition_code
22220.0,3,206.0,17,9193.2,2.0,31.99006,-81.08346,0,42.0,0,0.0,0.0,41.0,131.9,0.0,0.0,41.3,99.98999786,17.3,19.4,0.0,0.0,73.0,45.0,1.2,4,33330,0.0,805.0,80.0,1207.0,889.0,76.0,20.0,35.7,1.0,-0.8,126,3,168.83,4432.0,1557.81,8,2018,5,Good,7,8,2,2,7
22220.0,3,212.9,19,13203.1,4.0,32.00069,-81.07936,0,41.0,0,0.0,0.0,58.4,121.1,0.0,0.0,58.7,99.98999786,18.4,20.0,19.0,0.0,63.9,42.0,1.2,4,33330,0.0,1059.0,106.0,1589.0,889.0,76.0,20.0,35.7,1.0,-0.8,126,3,168.83,4432.0,1557.81,8,2018,5,Good,7,8,2,2,7
22220.0,3,29.9,18,2987.5,5.0,32.00571,-81.07845,0,100.1,30,0.0,0.0,77.8,8.9,0.0,0.0,0.0,99.98999786,0.0,0.0,0.0,0.0,61.0,35.9,6.2,4,33330,0.0,181.0,18.0,272.0,889.0,76.0,20.0,35.7,1.0,-0.8,126,3,168.83,4432.0,1557.81,8,2018,5,Good,7,8,0,0,7
22220.0,3,25.9,18,773.8,5.0,32.0043,-81.07964,0,29.9,0,0.0,0.0,29.9,7.9,0.0,0.0,0.0,99.98999786,0.0,0.0,0.0,0.0,110.1,110.1,98.8,4,33330,32.2,2368.0,236.0,3552.0,889.0,76.0,20.0,35.7,1.0,-0.8,126,3,168.83,4432.0,1557.81,10,2018,5,Good,8,8,1,1,8
22220.0,3,25.9,18,884.4,5.0,32.00272,-81.08247,0,34.1,12,0.0,0.0,34.8,7.9,0.0,0.0,0.0,99.98999786,0.0,0.0,0.0,0.0,110.1,110.1,98.8,4,33330,30.8,2294.0,229.0,3441.0,889.0,76.0,20.0,35.7,1.0,-0.8,126,3,168.83,4432.0,1557.81,10,2018,5,Good,8,8,1,1,8
22810.0,2,60.0,63,4885.1,2.0,32.00243,-81.08556,0,65.9,0,0.0,0.0,65.9,29.9,6.6,6.6,65.9,99.98999786,0.0,0.0,0.0,0.0,44.0,25.9,5.0,1,34215,0.0,426.0,43.0,639.0,228.0,76.0,20.0,35.7,1.0,-0.8,126,3,168.83,4432.0,1557.81,8,2018,5,Good,5,8,1,1,7
22220.0,4,27.9,18,2790.5,5.0,32.01114,-81.08213,0,100.1,0,0.0,0.0,77.8,5.9,0.0,0.0,0.0,99.98999786,0.0,0.0,0.0,0.0,110.1,110.1,1.9,4,33330,34.1,2516.0,251.0,3774.0,889.0,76.0,20.0,35.7,1.0,-0.8,126,3,168.83,4432.0,1557.81,10,2018,5,Good,8,8,1,1,8
22220.0,3,189.0,29,17980.0,8.0,32.04379,-81.06961,0,80.1,0,0.0,0.0,43.0,108.9,0.0,0.0,89.6,99.98999786,16.9,10.5,0.0,0.0,52.9,32.0,1.2,4,33330,0.0,1141.0,114.0,1712.0,889.0,76.0,20.0,35.7,1.0,-0.8,126,3,168.83,4432.0,1557.81,8,2018,5,Good,7,8,1,1,7
25780.0,3,32.2,29,3027.5,20.0,32.04395,-81.07042,0,94.2,0,0.0,0.0,40.7,9.8,4.9,4.9,0.0,99.98999786,0.0,0.0,0.0,0.0,61.0,35.9,1.2,3,38670,0.0,296.0,30.0,443.0,773.0,76.0,20.0,35.7,1.0,-0.8,126,3,168.83,4432.0,1557.81,8,2018,5,Good,7,8,0,0,7
5400.0,2,60.0,63,2048.6,0.0,31.99589,-81.09055,0,23.0,0,0.0,0.0,27.9,29.9,2.3,2.3,27.9,99.98999786,0.0,0.0,0.0,0.0,47.0,28.0,3.1,1,8100,0.0,234.0,23.0,352.0,54.0,76.0,20.0,35.7,1.0,-0.8,126,3,168.83,4432.0,1557.81,8,2018,5,Good,6,8,1,1,7
